1', '0.000000056126420
2', '0.000000117077079
3', '0.000000053890647
4', '0.000000072782707
5', '0.000000073880085
6', '0.000000056879176
7', '0.000000054336638
8', '0.000000047894172
9', '0.000000111194236
10', '0.000000093776628
11', '0.000000062534822
12', '0.000001215534692
13', '0.000000097910848
14', '0.000000054982508
15', '0.000000050815181
16', '0.000000049511279
17', '0.000000061543029
