0', '0.000000031550400
1', '0.000001056618278
2', '0.000000796451669
3', '0.000001421392638
4', '0.000001488341988
5', '0.000001292938461
6', '0.000001264040318
7', '0.000001525498471
8', '0.000001538519640
9', '0.000001309154349
10', '0.000001431969240
11', '0.000001449268077
12', '0.000001554618435
13', '0.000001522928699
14', '0.000001391699397
15', '0.000001397389768
16', '0.000001503983491
17', '0.000001181307538
